administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Barack Obama (First Term),Delaware Department of Natural Resources v. U.S. Army Corps of Engineers,2009-10-30,Environment,Dredging,U.S. Army Corps of Engineers (DoD),state_loss,,"Failure, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,685 F.3d 259,"685 F.3d 259 (3rd. Cir., Jul. 3, 2012) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2009.10.30-Delaware-Department-of-Natural-Resources-v.-U.S.-Army-Corps-of-Engineers-Complaint-D.-Del..pdf; https://scholar.google.com/scholar_case?case=7709763150305515287&amp;q=685+F.3d+259&amp;hl=en&amp;as_sdt=6,50",Both the district and appeals courts ruled against the plaintiff states and for the Army Corps of Engineers.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Coalition for Responsible Regulation v. EPA,2010-02-16,Environment,Greenhouse Gas Endangerment Finding,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,684 F.3d 102,"684 F.3d 102 (D.C. Cir, 6/26/12) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2010.03.18-Coalition-for-Responsible-Regulation-v.-EPA-Motion-to-Intervene-in-Support-of-Petitioners-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=5965664274709162335&amp;q=684+F.3d+102&amp;hl=en&amp;as_sdt=6,50; https://scholar.google.com/scholar_case?case=5965664274709162335&amp;q=09-1322&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit upheld the Endangerment Finding and the U.S. Supreme Court denied certiorari, thus keeping the rule in place against the petitioner states' challenges.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),In re Aiken County,2010-02-26,Environment,Nuclear Waste Cleanup,U.S. Department of Energy,state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,645 F.3d 428,"links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2010.06.18-In-re-Aiken-County-Petitioners-Brief-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=9026813009511683815&amp;q=645+F.+3d+428&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit held that the challenges were not ripe for determination, and dismissed the petitions. The states brought a later challenge (11-1271).",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Texas v. EPA,2010-06-01,Environment,Greenhouse Gas Timing (or Triggering) Rule,U.S. Environmental Protection Agency,adverse_tro_or_injunction; adverse_merits_or_partial_merits,No Injunction Issued (Not Requested or No Judicial Action),Mixed Results (Partial Success on Merits),"Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,134 S.Ct. 2427,"684 F.3d 102 Â (D.C. Cir, 6/26/12) 134 S. Ct. 2427 Â (SCOTUS, 6/23/14) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2010.06.01-Texas-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=5508189020577131514&amp;q=134+S.+Ct.+2427&amp;hl=en&amp;as_sdt=6,50; https://scholar.google.com/scholar_case?case=5965664274709162335&amp;q=09-1322&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit held that the plaintiffs did not have standing to challenge the Timing and Tailoring Rules. The Supreme Court addressed the merits of both rules, narrowing but largely upholding EPA's ability to regulate greenhouse gases.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Texas v. EPA,2010-07-06,Environment,Greenhouse Gas Tailpipe Rule,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,684 F.3d 102,"684 F.3d 102 (D.C. Cir., 6/26/12) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2010.07.06-Texas-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=5965664274709162335&amp;q=09-1322&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit upheld the Tailpipe Rule and the U.S. Supreme Court denied certiorari, thus keeping the rule in place against the petitioner states' challenges.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Michigan v. U.S. Army Corps of Engineers,2010-07-19,Environment,Failure to Take Adequate Measures to Prevent Asian Carp,U.S. Army Corps of Engineers (DoD),adverse_tro_or_injunction; state_loss,,"Failure, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,758 F.3d 892,"758 F. 3d 892 (7th Cir.) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2010.07.19-Michigan-v.-U.S.-Army-Corps-of-Engineers-Complaint-N.D.-Ill..pdf; https://scholar.google.com/scholar_case?case=8184526402276808710&amp;q=758+F.3d+892&amp;hl=en&amp;as_sdt=6,50","The district court dismissed the states' case, which was upheld on appeal to the 7th Circuit.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Alabama v. EPA,2010-07-30,Environment,Greenhouse Gas Tailoring Rule,U.S. Environmental Protection Agency,adverse_tro_or_injunction; adverse_merits_or_partial_merits,No Injunction Issued (Not Requested or No Judicial Action),Mixed Results (Partial Success on Merits),"Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,134 S.Ct. 2427,"684 F.3d 102 Â (D.C. Cir, 6/26/12) 134 S. Ct. 2427 Â (SCOTUS, 6/23/14) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2010.07.30-Alabama-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=5508189020577131514&amp;q=134+S.+Ct.+2427&amp;hl=en&amp;as_sdt=6,50; https://scholar.google.com/scholar_case?case=5965664274709162335&amp;q=09-1322&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit held that the plaintiffs did not have standing to challenge the Timing and Tailoring Rules. The Supreme Court addressed the merits of both rules, narrowing but largely upholding EPA's ability to regulate greenhouse gases.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),National Environmental Development Association's Clean Air Project v. EPA,2010-08-23,Environment,Sulfur Dioxide Rule,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,686 F.3d 803,"686 F.3d 803 | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2011.03.28-North-Dakota-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=13265719044255902988&amp;q=686+F.3d+803&amp;hl=en&amp;as_sdt=6,50","The three-judge panel denied in part and dismissed in part the various petitions, thus holding for the EPA over the states' challenges.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),National Mining Association v. EPA,2010-10-06,Environment,Enhanced Coordination Process,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,758 F.3d 243,"758 F.3d 243 (D.C. Cir.) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2013.07.23-National-Mining-Association-v.-EPA-Amicus-for-Appellees-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=16134836000117914133&amp;q=12-5311&amp;hl=en&amp;as_sdt=6,50","The district court granted summary judgment to the plaintiffs, but the D.C. Circuit reversed and held for the federal defendants.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Sierra Club v. EPA,2010-12-08,Environment,Emission Standards for Portland Cement Facilities,U.S. Environmental Protection Agency,state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,665 F.3d 177,"665 F.3d 177 | links: https://attorneysgeneral.org/wp-content/uploads/2019/07/2010.12.08-Sierra-Club-v.-EPA-Motion-to-Intervene-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=8412779845356577069&amp;q=665+F.3d+177&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit held against the environmental petitioners and states, holding that their challenge was premature because it did not challenge ""final"" agency action.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
