Issue ID,Area ID,Title,Development Status,Audit Runs,Proposal Quality Score,Audit Status,Last Audit Type,Last Audit Date,Score Basis,Next Audit Need,Audit Rubric Version,Rebaseline Status,Rebaseline Notes,Adoption Friction Score,Adoption Friction Band,Adoption Friction Notes,Required Electoral Environment,Pathway Viability,Development Priority,Pathway Adjustment,Enactment Pathway Notes
DOJ-001,A-01,Recent Presidential Personal Counsel in Senior DOJ Leadership,Developed,15,82,T4 publication-ready audit complete; 2026-06-27.2 change audit no score effect,Change Audit,2026-06-27,"T4 publication-ready audit completed on June 27, 2026. Change Audit under rubric 2026-06-27.2 found no score effect because DOJ-001 uses federal legislation and does not depend on voluntary self-limitation by the same institutional actor whose discretion the proposal constrains. Adoption remains 5/12, implementation remains 6/8, and external review remains 0/4 because no proposal-specific polling, direct prior bill, outside expert review, official Attorney General nomination record, or post-Slaughter reassessment has been obtained. Component scores remain: structural 8, evidence 12, legal fit 8, prior proposal 6, remedy 11, implementation 6, abuse resistance 8, drafting 8, cogency 6, adoption 5, project integration 4, external review 0, penalties 0.","Run T4 follow-up after Trump v. Slaughter is decided, an official AG nomination record is located or ruled out with stronger certainty, and external legal or legislative review is obtained; consider a staged fallback vehicle focused on disclosure, OGE review, or Senate-confirmation procedure.",2026-06-27.2,current,Current under rubric 2026-06-27.2 after Change Audit; proposal remains strong developed draft but not publication-ready because external review and key follow-up checks remain pending.,72,High Resistance,"High resistance from partisan salience, separation-of-powers controversy, senior DOJ institutional disruption, stakeholder resistance, public-understanding burden, and likely litigation; not subtracted from Proposal Quality Score.",sixty-vote-senate,plausible-after-wave,active,stage,"Federal statutory eligibility rule likely requires a Senate environment capable of overcoming filibuster constraints unless attached to another viable vehicle or the rule changes. Preserve full proposal while developing staged confirmation-process, disclosure, OGE-review, and oversight variants."
DOJ-002,A-01,White House Direction or Interference in Particular Federal Criminal Matters,Developed,6,78,T4 publication-ready audit complete; external validation and fallback drafting pending,T4 publication-ready audit,2026-06-27,"T4 publication-ready audit under rubric 2026-06-27.2 increased the score from 75 to 78 after completing publication-level internal source refresh, pending-judicial-vulnerability review, issue-to-proposal consistency review, implementation reviewer-fit analysis, budgetary-impact confirmation, and source-inventory updates. Component scores: structural 8, evidence 12, legal fit 8, prior proposal 6, remedy 10, implementation 7, abuse resistance 8, drafting 7, cogency 6, adoption 2, project integration 4, external review 0, penalties 0. The proposal remains Review Ready rather than publication-ready because external legal/practitioner review, Public Integrity workload validation, proposal-specific adoption evidence, final docket-service verification, and statutory fallback drafting remain incomplete.","Run T4 follow-up or external-validation pass after practitioner/legal review, Public Integrity workload validation, final Minnesota docket verification, and statutory fallback drafting are available; next improvement target is external validation and concrete fallback drafting rather than another general source refresh.",2026-06-27.2,current,Current under rubric 2026-06-27.2 after T4 publication-ready audit; proposal is internally review-ready but external validation and fallback drafting remain pending.,84,Extreme Resistance,Extreme resistance remains because adoption depends on voluntary self-limitation by the Attorney General and senior DOJ leadership whose White House-contact flexibility and politically sensitive criminal-process discretion would be constrained; T4 did not identify external adoption pressure sufficient to lower friction.,current-law-available,conditional-current,active,stage,"Core vehicle remains legally available as a Justice Manual amendment, but adoption viability remains conditional because current-law availability depends on a reform-aligned Attorney General or comparable external adoption pressure. T4 confirms statutory fallback should be staged and drafted around logging, preservation, IG/congressional notice, appropriations or confirmation pressure, and only later judicially enforceable limits if needed."
DOJ-003,A-01,"Politically Selective Enforcement, Charging, and Favoritism",Developed,7,82,Change Audit complete; external validation pending,Change Audit,2026-06-27,"Latest Change Audit under rubric 2026-06-27.2 made no score change after adding a congressional-reporting anonymization guardrail because the revision strengthens remedy clarity, abuse resistance, and drafting quality, but those components were already at or near full credit and broader external-review/legal-fit issues remain unresolved. Prior Change Audit increased the score from 81 to 82 after the post-T4 existing-law redraft anchored the bill in BJS authority under 34 U.S.C. § 10132(c) and enacted functional/budget analogues. Component scores remain: structural 8, evidence 11, legal fit 9, prior proposal 7, remedy 11, implementation 7, abuse resistance 8, drafting 8, cogency 6, adoption 3, project integration 4, external review 0, penalties 0.","Run T4 follow-up or external-validation pass after qualified prosecutor/defender, DOJ OIG/OPR, privacy/statistics, or legislative-counsel review; test whether the secure congressional-review language is compatible with Rule 6(e), classified-information handling, privilege, fair-trial rights, privacy law, committee-security practice, and OIG/OPR jurisdiction; seek legislative-counsel verification of codification, paragraph numbering, conforming-amendment needs, and committee-counsel access mechanics; obtain or rule out stronger primary records for the six-lawmakers episode; locate an official fiscal score or closer DOJ-wide IT/OIG cost analogue; and update if pending removal-power cases materially change the legal environment.",2026-06-27.2,current,"Current under rubric 2026-06-27.2 after T4 publication-ready audit, post-T4 statistical-reporting analogue update, post-T4 existing-law redraft, and proposal-specific Change Audits; proposal is Review Ready but not publication-ready because external review, proposal-specific adoption evidence, official fiscal support, direct charging-comparator prior-proposal grounding, legislative-counsel verification, secure congressional-review validation, and stronger primary support for one example remain incomplete.",78,High Resistance,"T4 confirmed high resistance: statutory prosecutorial-decision monitoring, OIG infrastructure, political comparator analysis, congressional notice, privacy safeguards, law-enforcement secrecy, and separation-of-powers concerns create high organized and institutional resistance.",sixty-vote-senate,plausible-after-wave,active,stage,"T4 pathway unchanged: ordinary federal legislation likely requires a Senate environment capable of overcoming filibuster constraints; stage through oversight, pilot implementation, historical baseline study, reporting, appropriations-condition, or IG-capacity vehicles before full statutory monitoring architecture."
DOJ-004,A-01,Protection of Career DOJ Personnel from Politically Motivated Removal or Reassignment,Awaiting merits adjudication,2,0,Pending judicial or controlling external finding; no proposal-quality score assigned,T1 predicate check,2026-06-27,"T1 predicate check confirmed that DOJ-004 remains properly paused. Current reporting supports the Article II removal predicate and the April 2026 federal-court channeling ruling, but no merits ruling has resolved whether Article II permits or limits removal of career federal prosecutors notwithstanding statutory civil-service protections.","Reassess after a merits ruling, settlement, injunction, appellate ruling, legislative development, or other controlling event clarifies whether Article II overrides, limits, or coexists with statutory civil-service protections for career DOJ prosecutors.",2026-06-27.2,current-fixed-status,Fixed zero-status score is current under rubric 2026-06-27.2 while the issue remains paused pending merits adjudication; the zero score is not a negative quality judgment.,N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOJ-005,A-01,Weak Enforcement and Internal Control of DOJ Recusal Duties,Developed,3,60,T2 blocked; human review needed for existing-law redraft,T2 blocker review,2026-06-28,"Autonomous T2 blocker review found that the next meaningful audit step requires deciding whether to convert the freestanding bill into amendments to existing law, especially 28 U.S.C. 528. Agent rules prohibit autonomous conversion of the legal vehicle without user authorization, so score remains 60 and hard rebaseline remains pending.","Human review: decide whether to authorize existing-law redraft around 28 U.S.C. 528, with conforming DOJ regulatory instructions and OGE/OIG/OPR fit analysis; if authorized, rerun T2 development audit.",2026-06-27.2,hard-rebaseline-needed,T2 formula rebaseline blocked because the core legal-vehicle question requires human authorization before an existing-law redraft can proceed.,70,High Resistance,"High resistance expected because proposal constrains senior DOJ discretion, may draw executive-branch resistance, and may be framed as interference with presidential supervision; friction is not subtracted from Proposal Quality Score.",sixty-vote-senate,plausible-after-wave,active,narrow,"Federal statutory reform likely requires a Senate environment capable of overcoming filibuster constraints unless attached to a viable ethics, appropriations, or DOJ-authorization vehicle. T2 should narrow the vehicle by amending existing recusal law before considering a broader regime."
DOJ-006,A-01,Insufficiently enforceable limits on White House–DOJ contacts,Retired—merged into DOJ-002 and DOJ-007,1,0,Retired or merged; no standalone proposal quality score,Initial framework and inventory audit,2026-06-24,Standalone proposal retired or merged into a primary issue; quality should be assessed through the surviving proposal.,Confirm cross-reference remains accurate if primary issue changes.,2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOJ-007,A-01,Independent Investigation of Presidential and Senior Executive Misconduct,Developed,8,78,T4 publication-ready audit complete; external validation pending,T4 publication-ready audit,2026-06-28,"T4 verified the constitutional-amendment vehicle, linked enabling legislation, current special-counsel regulations, OLC prosecution-limit source, Watergate congressional-investigation analogue, pending removal-power vulnerability, prior removal-protection bill comparator, issue-to-legislation alignment, and a limited budget analogue source lead. Component score: Structural 8/8; Evidence 11/12; Legal Fit 8/10; Prior Proposal 6/8; Remedy 11/12; Implementation 7/8; Abuse Resistance 8/8; Drafting 8/8; Cogency 6/6; Adoption 1/12; Project Integration 4/4; External Review 0/4; Penalties 0.","External validation / T4 follow-up. Obtain qualified constitutional and legislative-counsel review; refresh pending removal-power cases; develop official-source cost and funding memo; test grand-jury disclosure and reporting mechanics; test limitations tolling; develop stakeholder and adoption analysis; decide whether a narrower oversight-stage companion is needed.",2026-06-27.2,current,"T4 score calculated under current rubric 2026-06-27.2. Review Ready means ready for knowledgeable external critique, not publication-ready or lawmaker-circulation-ready.",92,Extreme Resistance,"Extreme resistance because the proposal requires a constitutional amendment, changes investigation of the President and senior executive officials, depends on contested separation-of-powers and appointments doctrine, creates a protected investigative structure, requires funding, and invites intense partisan and constitutional opposition.",constitutional-amendment-environment,post-crisis-only,conditional,stage,"The core remedy is not realistically actionable without a constitutional-amendment environment. T4 confirmed narrower statutory options can mitigate removal or interference risk but cannot supply the missing nonexecutive appointment trigger; staged development should focus on external review, public explanation, source development, oversight framing, evidence preservation, and IMM-001 coordination before external action."
DOJ-008,A-01,Weak external review of politicized charging or noncharging decisions,Retired—merged into DOJ-003,1,0,Retired or merged; no standalone proposal quality score,Initial framework and inventory audit,2026-06-24,Standalone proposal retired or merged into a primary issue; quality should be assessed through the surviving proposal.,Confirm cross-reference remains accurate if primary issue changes.,2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
DOJ-009,A-01,Insufficient Professional-Qualification Requirements for Senior DOJ Leadership,Developed,3,60,T2 blocked; human review needed for existing-law codification,T2 blocker review,2026-06-28,"T2 blocker review found that the likely least-complex adequate vehicle is an existing-law codification package built around 28 U.S.C. chapter 31, 28 U.S.C. § 530B, and acting-officer provisions. Agent rules prohibit autonomously converting a freestanding bill into amendments to existing law, so score remains a Developed Draft placeholder pending human review.","Human review: decide whether to authorize existing-law redraft around 28 U.S.C. chapter 31, 28 U.S.C. § 530B, and acting-officer provisions; if authorized, rerun T2 development audit.",2026-06-27.2,hard-rebaseline-needed,"T2 formula rebaseline blocked because the core legal-vehicle question requires human authorization before an existing-law redraft can proceed.",66,High Resistance,"High resistance because the proposal constrains presidential nomination and acting-designation flexibility, affects Senate tolerance for professionally disciplined nominees, and may draw Appointments Clause, separation-of-powers, Senate-prerogative, and politicized-bar-complaint objections.",sixty-vote-senate,plausible-after-wave,active,stage,"Ordinary federal legislation likely requires a Senate environment capable of overcoming filibuster constraints. Staged development should focus on source-backed qualification analogues, neutral professional-fitness framing, pending-complaint anti-weaponization, and narrow amendment to existing DOJ office statutes."
ELEC-001,A-02,Federal Executive Interference with State and Local Election Administration,Developed,6,77,T4 publication-ready audit complete; external validation pending,T4 publication-ready audit,2026-06-28,"T4 component rebaseline: Structural 8/8; Evidence 10/12; Legal Fit 8/10; Prior Proposal 5/8; Remedy 10/12; Implementation 6/8; Abuse Resistance 7/8; Drafting 8/8; Cogency 6/6; Adoption 5/12; Project Integration 4/4; External Review 0/4; Penalties 0. T4 confirmed current-source posture, legal-fit posture, proposal-to-legislation alignment, and publication blockers.","Run external validation or T4 follow-up after primary court orders and docket materials for EO 14399 litigation, Congress.gov prior-proposal research, election-law or legislative-counsel review, state-standing and equitable-relief analysis, criminal-law narrowing, direct presidential-relief review, three-judge-court fit, and budget-authority support.",2026-06-27.2,current,"Current under rubric 2026-06-27.2 after T4 publication-ready audit; Review Ready for knowledgeable external critique but not publication-ready or lawmaker-circulation-ready.",88,Extreme Resistance,"Extreme resistance because the proposal regulates presidential and senior executive conduct in election administration, creates state-initiated emergency litigation, adds criminal exposure, and intersects with presidential-immunity doctrine.",sixty-vote-senate,plausible-after-wave,active,stage,"Ordinary federal legislation likely requires a Senate environment capable of overcoming filibuster constraints or an unusually strong post-election-abuse mandate. Staged development should preserve the Hatch Act anchor, civil preservation/injunction tools, and narrowed criminal provisions if the full package proves too difficult."
