source_id,source_name,term_scope,coverage_domain,source_type,url,intake_status,expected_value,known_limitation,last_checked
TAS-001,Just Security Litigation Tracker,Second term,Cross-government legal challenges,Living litigation tracker,https://www.justsecurity.org/107087/tracker-litigation-legal-challenges-trump-administration/,ingested-2026-07-15,Case-level challenges grouped by executive action with filings and status,Tracker status is not necessarily final and litigation volume overweights readily justiciable disputes,2026-07-15
TAS-002,Lawfare Trump Administration Litigation Tracker,Second term,National security immigration habeas and domestic deployment litigation,Living litigation tracker,https://www.lawfaremedia.org/projects-series/trials-of-the-trump-administration/tracking-trump-administration-litigation,registered-for-comparison,Independent posture cross-check and specialized noncompliance trackers,Substantially overlaps Just Security and requires deduplication,2026-07-15
TAS-003,Associated Press court-order noncompliance review,Second term,Executive noncompliance with federal court orders,Investigative court-record review,https://apnews.com/article/152e5b39ca222c583962805fda5f47ae,registered-for-case-normalization,Identifies cases in which judges found noncompliance and later appellate outcomes,News synthesis must be verified against opinions and dockets,2026-07-15
TAS-004,Institute for Policy Integrity Trump Court Roundup,First term,Agency actions reviewed in court,Completed litigation tracker,https://policyintegrity.org/trump-court-roundup,ingested-2026-07-15,Outcome-coded agency actions including government wins and withdrawals,Excludes self-executing presidential directives and project-level decisions,2026-07-15
TAS-005,Immigration Policy Tracking Project,Both terms,Immigration policy actions and litigation,Living policy database,https://immpolicytracking.org/policies/?status=in-litigation,ingested-2026-07-15,Policy chronology source documents agency actors and litigation flags,Final case posture still requires docket-level normalization,2026-07-15
TAS-006,Columbia Trump Administration Human Rights Tracker,First term,Human-rights impacts across policy fields,Completed subject tracker,https://trumphumanrightstracker.law.columbia.edu/,ingested-2026-07-15,Finds non-litigation harms and actions omitted from administrative-law trackers,Human-rights concern is not itself proof of a legal or institutional defect,2026-07-15
TAS-007,Protect Democracy Retaliatory Actions Tracker,Second term,Investigations prosecutions and arrests alleged to be retaliatory,Living analytical tracker,https://protectdemocracy.org/work/retaliatory-action-tracker/,ingested-2026-07-15,Uses an explicit multi-factor retaliation framework and links case materials,Motive and selective-treatment claims require independent primary-source verification,2026-07-15
TAS-008,Civil Rights Litigation Clearinghouse Trump immigration collection,Both terms,Immigration and civil-rights litigation,Case collection,https://clearinghouse.net/collections/5676,registered-for-comparison,Case records orders and structured litigation histories,Collection scope is thematic rather than administration-wide,2026-07-15
TAS-009,State Litigation and AG Activity Database,Both terms,Multistate litigation against the federal government,Historical litigation database,https://attorneysgeneral.org/multistate-lawsuits-vs-the-federal-government/list-of-lawsuits-1980-present/,registered-for-ingestion,Independent state-plaintiff view and long historical coverage,Multistate cases only and coding methods require careful interpretation,2026-07-15
TAS-010,Public Citizen Trump Administration 2.0 Lawsuit Tracker,Second term,Federal agency and executive-action litigation,Living litigation tracker,https://www.citizen.org/article/trump-administration-2-0-lawsuit-tracker/,ingested-2026-07-15,Additional case discovery and posture cross-check,Tracks Public Citizen litigation rather than the complete universe of challenges,2026-07-15
TAS-011,Harvard Environmental and Energy Law Regulatory Tracker,Second term,Environmental energy and administrative action,Living regulatory tracker,https://eelp.law.harvard.edu/tracker-type/regulatory-tracker/,registered-for-domain-ingestion,Regulatory actions that may not immediately generate litigation,Policy reversal is not necessarily legally questionable,2026-07-15
TAS-012,Harvard Environmental Justice Tracker,Second term,Environmental justice and civil-rights administration,Living regulatory tracker,https://eelp.law.harvard.edu/tracker-type/environmental-justice-tracker/,registered-for-domain-ingestion,Environmental-justice effects and agency process changes,Requires legal-threshold and political-failure screening,2026-07-15
TAS-013,Sabin Center Climate Deregulation Tracker,First term,Climate energy environment and science policy,Completed action tracker,https://climate.law.columbia.edu/climate-deregulation-tracker,registered-for-domain-ingestion,Large action-level first-term archive with dates agencies and source links,Includes policy rollbacks without necessarily identifying legal defects,2026-07-15
TAS-014,Silencing Science Tracker,Both terms,Government restrictions on science and scientific information,Subject tracker,https://silencingscience.org/,ingested-2026-07-15,Leads for FACT and civil-service issues outside ordinary litigation,Scope and legal significance vary by entry and require legal-threshold screening,2026-07-15
TAS-015,Berkeley Law tracker directory,Both terms,Environmental regulatory litigation and Project 2025 trackers,Source directory,https://www.law.berkeley.edu/research/clee/research/other-research-initiatives/tracking-trump-attacks/,reviewed-2026-07-15,Meta-source for locating maintained specialist trackers,Directory is not an action-level evidentiary source,2026-07-15
TAS-016,Federal Register Presidential Documents,Both terms,Executive orders proclamations determinations memoranda and notices,Official action corpus,https://www.federalregister.gov/presidential-documents,registered-as-primary-backbone,Authoritative text publication dates citations and document identifiers,Does not identify implementation conduct or legal controversy,2026-07-15
