catalog_id,source_record_ids,integration_routes,integration_status,action_or_policy,legal_question_or_outcome,litigation_posture,source_family,source_entry_url,representative_case_url,official_action_url,preliminary_disposition,review_note,last_reviewed
TAC-IPI1-005,SRC-0768; SRC-0808; SRC-0809,FACT-001,verified-high-value-awaiting-issue-development,"Public Citizen Health Research Group v. Pizzella, No. 19-00166 (D.D.C. Jan. 11, 2021)",OSHA rescinded annual electronic submission of detailed workplace injury and illness records while retaining summary reporting; the district court upheld the 2019 rule.,adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://policyintegrity.org/documents/OHSA_rollback_case.pdf,https://www.govinfo.gov/content/pkg/FR-2019-01-25/pdf/2019-00101.pdf,apparent-merits-permission,Retain for FACT-001 development because the episode directly concerns the durability and public availability of safety data. FACT-001 has no issue page yet; do not create a placeholder or separate evidence page. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPI1-170,SRC-0768; SRC-0807; SRC-0812,REG-006,verified-high-value-awaiting-issue-development,"Guedes v. Bureau of Alcohol, Tobacco, Firearms & Explosives, 920 F.3d 1 (D.C. Cir. 2019), followed by Garland v. Cargill, 602 U.S. 406 (2024)","A presidential memorandum directed DOJ rulemaking on bump stocks; ATF reversed its prior interpretation, and the Supreme Court later held that the resulting rule exceeded statutory authority.",later-merits-invalidation,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.cadc.uscourts.gov/internet/opinions.nsf/E020C6DFFB0EB5AE852583CF00541653/$file/19-5042-1780398.pdf,https://www.govinfo.gov/content/pkg/FR-2018-12-26/pdf/2018-27763.pdf,mixed-or-later-modified-disposition,Retain for REG-006 development because the primary materials directly connect presidential direction to agency rulemaking and a later statutory-authority holding. REG-006 has no issue page yet; do not route this episode to REG-002 or DOM-001 and do not create a placeholder or separate evidence page. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-HRT1-004,SRC-0770; SRC-0813,PRESS-003,awaiting-primary-verification-and-reader-placement,"U.S. government tracked and impeded journalists, attorneys, and activists working at the border","Government agencies kept a secret list of activists, journalists, and attorneys to impede, interrogate, and detain at the border.",not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://nyti.ms/2EUkJkq,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-HRT1-007,SRC-0770; SRC-0816,HOR-037,awaiting-primary-verification-and-reader-placement,Health and Human Services Office currently unable and unwilling to return migrant children to parents,"In a federal court filing, the head of the Health and Human Services Office admitted that the office does not know the location or exact number of migrant children taken from their parents. In addition, they do not believe it is necessary that they be returned to their parents.",not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://apnews.com/48210bbf243e423ea151ff04e4878ce6?utm_medium=APWestRegion&utm_campaign=SocialFlow&utm_source=Twitter,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-HRT1-015,SRC-0770; SRC-0818,HOR-037,awaiting-primary-verification-and-reader-placement,Judge rules Trump administration must stop giving migrant kids psychotropic drugs without consent,"U.S. government officials were found to be giving psychotropic medication-sometimes forcibly- to migrant children at a Texas facility without seeking and obtaining the consent of guardians. Staff members at the detention facilities admitted to signing off on medications in place of parents, although they were not operating on an emergency basis.",not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://thehill.com/latino/399636-judge-rules-trump-admin-must-stop-giving-psychotropic-drugs-to-migrant-children,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-HRT1-022,SRC-0770; SRC-0823,HOR-037,awaiting-primary-verification-and-reader-placement,ACLU reports abuses and neglect of immigrant children at the border,"The ACLU and University of Chicago Law School International Human Rights Clinic released report based on 30,000 pages of records from a FOIA request documenting systemic maltreatment of children entering the United States across its southern border. This report is released amidst an ACLU suit against Trump’s administration for separating children from their families at the border.",not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://www.aclu.org/cases/ms-l-v-ice,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-HRT1-024,SRC-0770; SRC-0825,FACT-001,awaiting-primary-verification-and-reader-placement,Trump administration distorts data to justify draconian immigration policies,Department of Homeland Security put out a press release citing statistics that misrepresent Customs and Border Protection data in order to mislead and blame foreign nationals and foreign born Americans for terrorism in the U.S. These actions have prompted the Brennan Center and others to file a lawsuit under the Data Quality Act.,not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://www.brennancenter.org/press-release/trump-administration-admits-mistakes-distorted-terrorism-report-refuses-retract-it,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-HRT1-025,SRC-0770; SRC-0826,HOR-037,awaiting-primary-verification-and-reader-placement,Trump administration launches a “zero tolerance” policy separating families at the border,"Attorney General Jeff Sessions announces a “zero tolerance” policy at the border directing federal prosecutors to criminally prosecute all adult migrants entering the country illegally, leading to the separation of families because children cannot be held in detention facilities with their parents.",not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://www.ohchr.org/EN/NewsEvents/Pages/DisplayNews.aspx?NewsID=23174&LangID=E,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-HRT1-028,SRC-0770; SRC-0828,FACT-001,awaiting-primary-verification-and-reader-placement,Trump administration censors climate change content on government websites,"Study reveals Trump administration is systematically censoring climate change web content. Words like “climate change” have been replaced with “sustainability”, and explanations of harmful environmental impacts of fossil fuels have been removed.",not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://envirodatagov.org/wp-content/uploads/2018/01/Part-3-Changing-the-Digital-Climate.pdf,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-HRT1-043,SRC-0770; SRC-0829,DOM-009,awaiting-primary-verification-and-reader-placement,DHS plans to collect social media information on all immigrants and naturalized citizens,"The Department of Homeland Security announced its plan to monitor the social media and internet search activities of immigrants, naturalized U.S. citizens, and lawful permanent residents as part of a new tracking system. It is unclear whether monitoring would be limited to the immigration process or if it would continue afterward. The notice claims that the data will come from publicly available information obtained from the internet, public records, public institutions, interviewees, commercial data providers,” but does not specify how it will be used.",not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://www.aclu.org/news/aclu-comment-homeland-security-notice-immigrants-social-media-information,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
