media_id,term,episode,date_or_period,institutional_question,source_1_name,source_1_url,source_2_name,source_2_url,primary_source_name,primary_source_url,primary_source_status,arrp_coverage_status,provisional_arrp_routes,screening_recommendation,last_checked,notes
MEDIA-001,2,DOJ directive to dismiss the Eric Adams prosecution,2025-02,"Whether federal charging authority can be used to obtain an elected official's cooperation with executive policy while an unopposed dismissal leaves the court with only narrow remedial power",Associated Press,https://apnews.com/article/109ef48bd49bc8adc1850709c99bf666,Reuters,https://www.investing.com/news/general-news/justice-department-seeks-dismissal-of-charges-against-new-york-mayor-ny-times-says-3860454,Acting Deputy Attorney General dismissal memorandum,https://static01.nyt.com/newsgraphics/documenttools/76308bc134b67d36/4cc46c59-full.pdf,verified-copy,existing-proposal-likely,"DOJ-003; DOJ-007; JUD-001; JUD-005",advance-for-duplicate-and-remedy-fit-review,2026-07-15,"The district court ultimately dismissed with prejudice while criticizing the stated rationale; distinguish prosecutorial discretion from any claimed bargain."
MEDIA-002,2,Attempted dismantling of Voice of America and associated broadcast networks,2025-03 onward,"Whether an executive reduction order and administrative nonuse can nullify congressionally created and funded broadcasting functions",Associated Press,https://apnews.com/article/f30c48df0c16de622ec5fd99ee6c627c,Reuters,https://www.investing.com/news/economy-news/us-judge-blocks-trumps-shutdown-of-governmentfunded-radio-broadcasts-3996678,Executive Order 14238,https://www.federalregister.gov/documents/2025/03/20/2025-04868/continuing-the-reduction-of-the-federal-bureaucracy,verified-primary,existing-manifestation,"REG-001; FUND-001; JUD-011; A-22",monitor-litigation-and-test-delayed-relief,2026-07-15,"Congress had appropriated funds and assigned functions; later appellate and merits developments require disposition normalization."
MEDIA-003,2,Foreign-assistance freeze and attempted withholding of appropriated funds,2025-01 onward,"Whether the executive may suspend or terminate foreign assistance that Congress appropriated and whether threshold or remedial rulings leave the power-of-the-purse issue unresolved",Associated Press,https://www.ap.org/news-highlights/spotlights/2025/divided-supreme-court-rejects-trump-bid-to-freeze-nearly-2-billion-in-foreign-aid/,Reuters,https://www.investing.com/news/politics-news/us-supreme-court-lets-trump-withhold-4-billion-in-foreign-aid-4258432,Executive Order 14169,https://www.federalregister.gov/documents/2025/01/30/2025-02091/reevaluating-and-realigning-united-states-foreign-aid,verified-primary,existing-manifestation,"FUND-001; FUND-002; REG-001; JUD-011",advance-for-disposition-level-review,2026-07-15,"Separate the initial blanket freeze from later contract terminations and any congressionally approved rescission."
MEDIA-004,2,Removal of inspectors general without the statutory notice and reasons process,2025-01,"Whether removal notice requirements are enforceable when a court finds a statutory violation but does not reinstate the affected watchdogs",Associated Press,https://apnews.com/article/87145a36a311ce6d4c2e2e4c3276c17d,Reuters,https://www.investing.com/news/world-news/judge-will-not-reinstate-us-government-watchdogs-despite-unlawful-firings-4254462,CRS Inspector General removal summary,https://www.congress.gov/crs-product/IF11546,verified-official-analysis,existing-manifestation,"A-09; JUD-001; JUD-011",advance-as-remedy-gap,2026-07-15,"The remedial outcome is more important to ARRP than the already identified notice violation."
MEDIA-005,2,Executive orders and negotiated concessions targeting major law firms,2025-03 onward,"Whether presidential control of clearances contracts buildings and agency access can be used to punish or extract concessions from legal advocates",Associated Press,https://apnews.com/article/fe8f38a61cf77c5bb6add1315f5f96f1,Reuters,https://www.investing.com/news/world-news/trump-reaches-agreement-with-milbank-law-firm-3963512,Paul Weiss presidential action and rescission record,https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-addresses-risks-from-paul-weiss/,verified-primary,existing-manifestation,"RET-001; A-19; A-22",monitor-appeals-and-test-recurrence,2026-07-15,"Four firms obtained constitutional rulings; agreements with other firms raise a separate coercion and review-evasion question."
MEDIA-006,2,University funding freezes tied to governance curriculum admissions and hiring demands,2025-04 onward,"Whether unrelated or insufficiently adjudicated federal funding leverage can compel institutional policy changes outside the grant programs' terms",Associated Press,https://apnews.com/article/harvard-trump-federal-cuts-universities-protests-8fa92331b2780394ea171b0b32d5d243,Reuters,https://www.investing.com/news/world-news/trump-unlawfully-canceled-harvards-research-grants-us-judge-rules-4222868,Harvard amended complaint and attached demand record,https://www.harvard.edu/research-funding/wp-content/uploads/sites/16/2025/05/amended_complaint.pdf,verified-primary-copy,existing-manifestation,"FED-003; A-19; FUND-001; JUD-011",monitor-appeals-and-separate-program-specific-authority,2026-07-15,"Do not collapse legitimate civil-rights enforcement into the broader question of unrelated coercive conditions."
MEDIA-007,2,Restriction of Associated Press access over editorial terminology,2025-02 onward,"Whether discretionary presidential press access can be withdrawn to coerce editorial speech and whether existing relief remains durable on appeal",Associated Press,https://www.ap.org/media-center/ap-in-the-news/2025/white-house-bars-ap-reporter-from-oval-office-because-of-ap-style-policy-on-gulf-of-america/,Axios,https://www.axios.com/2025/02/24/trump-ap-access-lawsuit-white-house-filing,Executive Order 14172 and AP access litigation record,https://www.federalregister.gov/documents/2025/01/31/2025-02012/restoring-names-that-honor-american-greatness,verified-primary,existing-manifestation,"A-22; JUD-001",monitor-appellate-posture,2026-07-15,"The order renamed the geographic feature; the alleged retaliation arose from enforcement of the administration's terminology demand."
MEDIA-008,2,Pentagon newsroom eviction and outlet rotation,2025-01 onward,"Whether access to permanent Defense Department press facilities can be allocated on viewpoint-neutral and reviewable terms",Associated Press,https://apnews.com/article/359d22d77ee22cb0f256170f8f67178c,Reuters,https://www.investing.com/news/world-news/pentagon-doubles-number-of-news-outlets-to-rotate-out-from-office-spaces-3857726,Pentagon press-rotation memorandum described by both reports,,primary-described-not-linked,existing-proposal-likely,"A-22",verify-primary-and-test-distinctness,2026-07-15,"The two reports corroborate the underlying rotation; retrieve the signed Pentagon memorandum before publication use."
MEDIA-009,2,FCC investigations involving broadcast and media companies criticized by the President,2025,"Whether an independent regulator's licensing and enforcement tools can be deployed in response to presidential grievances or editorial content",Reuters,https://www.investing.com/news/stock-market-news/house-democrats-open-probe-into-fcc-media-investigations-3958562,Washington Post,https://www.washingtonpost.com/style/media/2025/02/13/fcc-brendan-carr-nbc-cbs-investigation/,FCC public notices and complaints collection,https://docs.fcc.gov/public/attachments/DOC-410581A1.pdf,partial-primary,existing-manifestation,"A-22; REG-001; A-19",verify-matter-specific-records,2026-07-15,"Code each investigation separately before drawing a motive or retaliation inference."
MEDIA-010,2,Executive order directing the end of federal funding for NPR and PBS,2025-05,"Whether the executive can terminate or condition congressionally structured public-media funding before or apart from a subsequent act of Congress",NPR,https://www.npr.org/2025/05/02/nx-s1-5384790/trump-orders-end-to-federal-funding-for-npr-and-pbs,Associated Press,https://apnews.com/article/94708ffb8313d4811fa6ca199fe454ad,Executive Order 14290,https://www.whitehouse.gov/presidential-actions/2025/05/ending-taxpayer-subsidization-of-biased-media/,verified-primary,existing-manifestation,"A-22; FUND-001; JUD-011",separate-executive-action-from-later-legislation,2026-07-15,"Later congressional defunding may be a political failure and does not retroactively answer the executive-authority question."
