catalog_id,term,action_or_case,preliminary_disposition_class,litigation_posture,disposition_basis_excerpt,institutional_screen,provisional_arrp_routes,source_family,source_entry_url,representative_case_url,official_action_url,review_status,last_checked
TAC-JS2-015,2,Assertion of Executive Control of Independent Agencies (Executive Order 14215),threshold-or-reviewability-disposition,closed in favor of government; Case Closed/Dismissed in Favor of Government=1,"On Feb. 18, 2025, President Donald Trump issued an executive order asserting that the Constitution vests all executive authority in the President, arguing that independent regulatory agencies exercise executive functions, and declaring the administration’s policy that such agencies fall under the supervision and control of the President. Such supervision and control requires independent agencies to abide by the President and Attorney General’s interpretations of the law. Plaintiffs, three national committees of the Democratic Party, filed suit as to how the order applies to the Federal Election Commission, an independent regulatory agency. They ask the court under the judicial review provisions of the Federal Election Campaign Act (FECA) to construe as constitutional the provisions of the Act that vest members of the Commission with authority to interpret it (rather than the President); and they argue the order violates the FECA. They seek declaratory judgment that the FECA is constitutional and that the executive order is unlawful as applied to the FEC; and they seek preliminary and permanent injunctive relief.","High priority: determine whether standing, jurisdiction, reviewability, waiver, or mootness left executive authority untested.",ELEC-001; A-02; A-08; OVS-008; ELEC-012,Just Security litigation tracker,https://www.justsecurity.org/107087/tracker-litigation-legal-challenges-trump-administration/,https://www.courtlistener.com/docket/69690767/democratic-national-committee-v-donald-j-trump/,,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-JS2-045,2,Department of Justice Review of FBI Personnel Involved in January 6th and Classified Documents Investigations (Executive Order 14147),threshold-or-reviewability-disposition,closed in favor of government; Case Closed/Dismissed in Favor of Government=2,"After President Donald Trump’s second inauguration, the Department of Justice (DOJ) terminated employees who were involved in investigations into the Jan. 6, 2021 attack on the U.S. Capitol and Trump’s alleged mishandling of classified documents. On Feb. 2, 2025, Federal Bureau of Investigation (FBI) leadership, pursuant to a directive from the acting deputy attorney general, instructed agents to fill out a survey identifying their specific roles in those investigations. Plaintiffs in this class action suit, employees or agents of the FBI who participated in the investigations and expect to be terminated for their roles, allege that such termination would violate protections against political retaliation under the Civil Service Reform Act, First Amendment protections for political expression, and Fifth Amendment Due Process protections. Plaintiffs also allege that publication or dissemination of the surveys regarding their roles in the investigations would violate the Privacy Act and place them at risk of serious harm. They seek an injunction against “the aggregation, storage, reporting, publication or dissemination” of information identifying FBI personnel involved in the relevant","High priority: determine whether standing, jurisdiction, reviewability, waiver, or mootness left executive authority untested.",RET-001; A-19; DOJ-002; DOJ-003; DOJ-007; A-22; A-08; CIV-009; DOM-009; A-24,Just Security litigation tracker,https://www.justsecurity.org/107087/tracker-litigation-legal-challenges-trump-administration/,https://www.courtlistener.com/docket/69609079/does-1-9-v-department-of-justice/,,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-IPI1-002,1,"International Brotherhood of Teamsters, Local 2785 v. Federal Motor Carrier Safety Administration , 986 F.3d 841 (9th Cir. 2021)",apparent-merits-permission,adjudicated-action-permitted,"January 15, 2021: A federal appeals court held that the Federal Motor Carrier Safety Administration’s decision that California’s meal and rest break rules for commercial motor vehicles was preempted was a permissible interpretation of the Motor Carrier Safety Act of 1984.",Review whether the permitted action reveals a generalizable statutory or procedural weakness rather than a substantive policy disagreement.,RIGHTS-001,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-IPI1-005,1,"Public Citizen Health Research Group v. Pizzella , No. 19-00166 (D.D.C. Jan. 11, 2021)",apparent-merits-permission,adjudicated-action-permitted,"January 11, 2021: A federal district court rejected a challenge to the Occupational Safety and Health Administration’s 2019 workplace injury and illness tracking rule —which rescinded portions of the agency’s prior 2016 rule , thus relieving qualifying employers from reporting obligations, holding that the agency had not violated the reasoned explanation requirement.",Review whether the permitted action reveals a generalizable statutory or procedural weakness rather than a substantive policy disagreement.,RIGHTS-001,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://policyintegrity.org/documents/OHSA_rollback_case.pdf,https://www.govinfo.gov/content/pkg/FR-2019-01-25/pdf/2019-00101.pdf,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-IPI1-007,1,"Gwich’in Steering Committee v. Bernhardt , No. 20-00204 (D. Alaska Jan. 5, 2021)",preliminary-or-remedial-denial,adjudicated-action-permitted,"January 5, 2021: A federal district court denied a motion to enjoin the Bureau of Land Management’s planned January 6, 2021 sale of leases on the Arctic National Wildlife Refuge, holding that the Bureau’s record of decision did not authorize any immediate on-the-ground activities and thus plaintiffs had not met the irreparable harm requirement.",Do not treat as merits approval; identify later merits posture and whether harm occurred before effective review.,A-13; A-18,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.eenews.net/assets/2021/01/06/document_ew_02.pdf,,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-IPI1-008,1,"Teva Pharmaceuticals USA, Inc. v. Food and Drug Administration , 2020 WL 7828788 (D.D.C. 2020)",manual-disposition-review-required,adjudicated-action-permitted,"December 31, 2020: A federal district court in D.C. rejected drug maker claims that the Food and Drug Administration should be compelled to regulate product used to treat multiple sclerosis as a biological product under Public Health Service Act rather than as a drug under the Food, Drug, and Cosmetics Act.","Read the controlling opinion and code the exact merits, threshold, finality, and remedy grounds.",,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-IPI1-010,1,"State v. Environmental Protection Agency , 983 F.3d 826 (5th Cir. 2020)",manual-disposition-review-required,adjudicated-action-permitted,"December 23, 2020: A federal appeals court held that Environmental Protection Agency had not unreasonably designated Bexar County, Texas as in nonattainment and three neighboring counties as in attainment with the 2015 Ozone National Ambient Air Quality Standards.","Read the controlling opinion and code the exact merits, threshold, finality, and remedy grounds.",,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-IPI1-014,1,"In re Gateway Radiology Consultants, P.A ., 983 F.3d 1239 (11th Cir. 2020)",mixed-or-later-modified-disposition,adjudicated-action-permitted,"December 22, 2020: A federal appeals court held that the Small Business Administration permissibly excluded bankruptcy debtors from the Paycheck Protection Program established pursuant to the Coronavirus Aid, Relief, and Economic Security Act. The court reversed a lower court ruling to the contrary. Other courts agreed with the appeals court. See, e.g., In re Penobscot Valley Hospital, No. 19-10034, 2021 WL 150412 (Bkrtcy.D.Me. 2021).",Normalize claim-by-claim and appellate history before identifying any institutional gap.,,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-IPI1-015,1,"Rocky Mountain Wild v. Bernhardt , No. 19-00929, 2020 WL 7264914 (D. Utah Dec. 10, 2020), appeal dropped(10th Cir. No. 21-4120)",preliminary-or-remedial-denial,adjudicated-action-permitted,"December 10, 2020: A federal district court in Utah denied a request to vacate 59 leases of public land in the Uinta Basin for oil and gas exploration, concluding that the agency complied with the National Environmental Policy Act in several respects and, while finding that the agency had failed to properly analyze two reasonable alternatives, explaining that the record did not indicate that, upon documenting its reasonable alternatives analysis, the agency would fail to justify a similar decision.",Do not treat as merits approval; identify later merits posture and whether harm occurred before effective review.,A-13; A-18,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://pdf.wildearthguardians.org/support_docs/70%20-%20Order%20on%20the%20merits.pdf,,preliminary text classification; controlling opinion review pending,2026-07-15
TAC-IPI1-017,1,"Alliance for the Wild Rockies v. Forest Service , 19-00350, 2020 WL 7049556 (E.D.Wash. 2020)",apparent-merits-permission,adjudicated-action-permitted,"December 1, 2020: A federal district court in Washington held that the Forest Service had not violated the National Environmental Policy Act in analyzing a project designed to restore a forest area in Washington to make it more resilient to wildfire and climate change.",Review whether the permitted action reveals a generalizable statutory or procedural weakness rather than a substantive policy disagreement.,,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,preliminary text classification; controlling opinion review pending,2026-07-15
